Weight budget, Fraction width, Average LL, Accuracy
130, 4, -518.0788095435809, 0.9541371158392435
130, 5, -518.0272473612966, 0.9541371158392435
140, 1, -519.0550886934632, 0.9494089834515367
140, 2, -517.4309200369278, 0.9498817966903074
140, 3, -517.1003304272983, 0.9517730496453901
140, 4, -516.9705122535199, 0.9536643026004729
140, 5, -516.931240609181, 0.9522458628841608
150, 1, -518.0751536226265, 0.9541371158392435
150, 2, -516.420758013418, 0.9437352245862884
150, 3, -516.0952854138532, 0.9522458628841608
150, 4, -515.9750111967886, 0.950354609929078
150, 5, -515.9271124816745, 0.9494089834515367
160, 1, -517.1711324497549, 0.9555555555555556
160, 2, -515.4981030801977, 0.9460992907801419
160, 3, -515.1766823024387, 0.9508274231678487
160, 4, -515.0742073874526, 0.9465721040189126
160, 5, -515.0116999667382, 0.948936170212766
170, 1, -516.3982306092413, 0.9550827423167849
170, 2, -514.6769134083694, 0.9432624113475178
170, 3, -514.3386113869238, 0.9484633569739953
170, 4, -514.2404359140365, 0.9442080378250591
170, 5, -514.1750364927158, 0.9442080378250591
180, 1, -515.7511138500323, 0.9513002364066194
180, 2, -513.9378772814069, 0.9456264775413712
180, 3, -513.5875666322025, 0.9456264775413712
180, 4, -513.4751081212593, 0.941371158392435
180, 5, -513.4040053332176, 0.9437352245862884
190, 1, -515.1486375107331, 0.9508274231678487
190, 2, -513.2763292733196, 0.9465721040189126
190, 3, -512.924625028407, 0.9418439716312057
190, 4, -512.7758408536353, 0.9385342789598109
190, 5, -512.703628639476, 0.9427895981087471
200, 1, -514.5982131373635, 0.9475177304964539
200, 2, -512.6860938905027, 0.9408983451536643
200, 3, -512.3138411753706, 0.9375886524822695
200, 4, -512.1480676166875, 0.9390070921985816
200, 5, -512.0839988848732, 0.9385342789598109
210, 1, -514.1539874421363, 0.9442080378250591
210, 2, -512.1670949963826, 0.9408983451536643
210, 3, -511.75140662735043, 0.939952718676123
210, 4, -511.5945293763899, 0.9366430260047282
210, 5, -511.536453972733, 0.9371158392434988
220, 1, -513.7919352555768, 0.9427895981087471
220, 2, -511.70048354521515, 0.9371158392434988
220, 3, -511.25120074603524, 0.9366430260047282
220, 4, -511.10762554692224, 0.9375886524822695
220, 5, -511.0552250750328, 0.9328605200945627
230, 1, -513.4687153185266, 0.9423167848699764
230, 2, -511.27536796049833, 0.9352245862884161
230, 3, -510.83514824494347, 0.9314420803782506
230, 4, -510.6887590148618, 0.9328605200945627
230, 5, -510.6347111708294, 0.9286052009456265
240, 1, -513.206835680182, 0.9427895981087471
240, 2, -510.90459988438454, 0.9328605200945627
240, 3, -510.4889701740576, 0.9252955082742317
240, 4, -510.33653402316673, 0.9257683215130024
240, 5, -510.2672849890605, 0.926241134751773
250, 1, -512.9892559049329, 0.9437352245862884
250, 2, -510.5988588640817, 0.9314420803782506
250, 3, -510.1943881605863, 0.9210401891252955
250, 4, -510.03636443725753, 0.9196217494089834
250, 5, -509.95038369577156, 0.9219858156028369
260, 1, -512.8226447452861, 0.9390070921985816
260, 2, -510.3685815751208, 0.9286052009456265
260, 3, -509.95079208900404, 0.9182033096926714
260, 4, -509.78163741706334, 0.9125295508274232
260, 5, -509.6833013474907, 0.9163120567375886
270, 1, -512.714106557034, 0.9371158392434988
270, 2, -510.19789586292444, 0.9243498817966903
270, 3, -509.74858687905356, 0.9177304964539007
270, 4, -509.57018962367374, 0.9111111111111111
270, 5, -509.47397607738435, 0.9139479905437352
280, 1, -512.636683637125, 0.9371158392434988
280, 2, -510.0754135312718, 0.9215130023640662
280, 3, -509.5901621140997, 0.9120567375886525
280, 4, -509.41653821617916, 0.908274231678487
280, 5, -509.31999234264396, 0.9087470449172577
290, 1, -512.6050844833978, 0.9342789598108747
290, 2, -510.0056998715066, 0.91725768321513
290, 3, -509.4836369287887, 0.9115839243498818
290, 4, -509.30639192422603, 0.9044917257683215
290, 5, -509.2081548481322, 0.8978723404255319
300, 1, -512.6043819619064, 0.9328605200945627
300, 2, -509.97213450250314, 0.9120567375886525
300, 3, -509.4274948164513, 0.9087470449172577
300, 4, -509.23613986263075, 0.8921985815602836
300, 5, -509.12345075339994, 0.8817966903073287
310, 1, -512.6043819619064, 0.9328605200945627
310, 2, -509.96968737192316, 0.909692671394799
310, 3, -509.4145242589781, 0.9063829787234042
310, 4, -509.19863875484907, 0.8822695035460993
310, 5, -509.05357846137525, 0.8643026004728133
320, 1, -512.6043819619064, 0.9328605200945627
320, 2, -509.96968737192316, 0.909692671394799
320, 3, -509.4145242589781, 0.9063829787234042
320, 4, -509.1815536972663, 0.8704491725768322
320, 5, -508.986772985917, 0.8387706855791962
330, 1, -512.6043819619064, 0.9328605200945627
330, 2, -509.96968737192316, 0.909692671394799
330, 3, -509.4145242589781, 0.9063829787234042
330, 4, -509.1749483657251, 0.8477541371158392
330, 5, -508.92017399759754, 0.8141843971631205
340, 1, -512.6043819619064, 0.9328605200945627
340, 2, -509.96968737192316, 0.909692671394799
340, 3, -509.4145242589781, 0.9063829787234042
340, 4, -509.170279056899, 0.8250591016548463
340, 5, -508.85357500927415, 0.7862884160756501
350, 1, -512.6043819619064, 0.9328605200945627
350, 2, -509.96968737192316, 0.909692671394799
350, 3, -509.4145242589781, 0.9063829787234042
350, 4, -509.16578520025075, 0.7990543735224587
350, 5, -508.7869760209493, 0.7626477541371158
360, 1, -512.6043819619064, 0.9328605200945627
360, 2, -509.96968737192316, 0.909692671394799
360, 3, -509.4145242589781, 0.9063829787234042
360, 4, -509.1612913436017, 0.7768321513002364
360, 5, -508.72037703262316, 0.7328605200945626
370, 1, -512.6043819619064, 0.9328605200945627
370, 2, -509.96968737192316, 0.909692671394799
370, 3, -509.4145242589781, 0.9063829787234042
370, 4, -509.15679748695027, 0.7451536643026004
370, 5, -508.6541638030514, 0.7096926713947991
380, 1, -512.6043819619064, 0.9328605200945627
380, 2, -509.96968737192316, 0.909692671394799
380, 3, -509.4145242589781, 0.9063829787234042
380, 4, -509.15230363029906, 0.7196217494089835
380, 5, -508.60034839735584, 0.7040189125295508
390, 1, -512.6043819619064, 0.9328605200945627
390, 2, -509.96968737192316, 0.909692671394799
390, 3, -509.4145242589781, 0.9063829787234042
390, 4, -509.147809773647, 0.6978723404255319
390, 5, -508.58567830670614, 0.7063829787234043
400, 1, -512.6043819619064, 0.9328605200945627
400, 2, -509.96968737192316, 0.909692671394799
400, 3, -509.4145242589781, 0.9063829787234042
