Weight budget, Fraction width, Average LL, Accuracy
10, 1, -540.9516396513446, 0.9919621749408983
10, 2, -540.7374370447926, 0.992434988179669
10, 3, -540.6858273393747, 0.9976359338061466
10, 4, -540.6460884202609, 0.9971631205673759
10, 5, -540.6358970625732, 0.9962174940898345
10, 6, -540.6260345645883, 0.9966903073286052
10, 7, -540.6188993371508, 0.9962174940898345
10, 8, -540.6175326312845, 0.9966903073286052
10, 9, -540.6147809186789, 0.9971631205673759
10, 10, -540.6130673482558, 0.9976359338061466
20, 1, -538.5664472865299, 0.9976359338061466
20, 2, -538.0172304586239, 0.991016548463357
20, 3, -537.8350002271334, 0.9943262411347518
20, 4, -537.7739266355758, 0.9947990543735225
20, 5, -537.7568691633329, 0.9952718676122931
20, 6, -537.7512965135186, 0.9957446808510638
20, 7, -537.7423832778653, 0.9952718676122931
20, 8, -537.7378216338826, 0.9947990543735225
20, 9, -537.734236150373, 0.9929078014184397
20, 10, -537.729982867704, 0.9947990543735225
30, 1, -536.4119182616447, 0.9862884160756501
30, 2, -535.4555374490348, 0.9716312056737588
30, 3, -535.2297153033774, 0.9872340425531915
30, 4, -535.1864343512348, 0.9872340425531915
30, 5, -535.1659014593636, 0.9867612293144208
30, 6, -535.1415982861929, 0.9872340425531915
30, 7, -535.1357837118784, 0.9895981087470449
30, 8, -535.1354213631524, 0.9886524822695035
30, 9, -535.1318193032238, 0.9872340425531915
30, 10, -535.1275224550313, 0.9872340425531915
40, 1, -534.3596864061652, 0.9692671394799054
40, 2, -533.0814451877126, 0.9730496453900709
40, 3, -532.8738692253121, 0.9754137115839243
40, 4, -532.820240055274, 0.9739952718676123
40, 5, -532.7824738443005, 0.9791962174940898
40, 6, -532.7745562029309, 0.9810874704491725
40, 7, -532.763695652325, 0.9801418439716312
40, 8, -532.751791020552, 0.9768321513002364
40, 9, -532.7499398454884, 0.9791962174940898
40, 10, -532.7460112073834, 0.9801418439716312
50, 1, -532.366905639045, 0.9654846335697399
50, 2, -530.8610235107758, 0.9617021276595744
50, 3, -530.7180035359843, 0.975886524822695
50, 4, -530.623460014477, 0.975886524822695
50, 5, -530.6051352477518, 0.9716312056737588
50, 6, -530.5775657863843, 0.9744680851063829
50, 7, -530.5702957226089, 0.9749408983451536
50, 8, -530.5675054597854, 0.9739952718676123
50, 9, -530.559363418486, 0.9749408983451536
50, 10, -530.557207855117, 0.975886524822695
60, 1, -530.473754915803, 0.948936170212766
60, 2, -528.8481566720324, 0.9716312056737588
60, 3, -528.6951413130922, 0.9697399527186761
60, 4, -528.6172112930655, 0.968321513002364
60, 5, -528.5780261944833, 0.9721040189125295
60, 6, -528.5630456821973, 0.9735224586288416
60, 7, -528.5528041870283, 0.9730496453900709
60, 8, -528.5376199860729, 0.9711583924349881
60, 9, -528.5358844904202, 0.9725768321513002
60, 10, -528.5319750614805, 0.9716312056737588
70, 1, -528.712153706456, 0.9437352245862884
70, 2, -527.0161889226532, 0.968321513002364
70, 3, -526.8246599941873, 0.9654846335697399
